Num,Names,Native,NonNative,PR_endemic,FLEPPCall_2017,Names,Range,,Florida,US,Caribbean,Central America ,South America,Europe ,Africa,Asia ,Australasia,Oceania,sum,Range info from where?
216,Chaptalia_albicans,1,0,0,0,Chaptalia albicans,Fla.; Mexico; West Indies; Central America.,,1,0,1,1,0,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
399,Chiococca_alba,1,0,0,0,Chiococca alba,"Monroe County Keys north mostly along the coasts to Duval and Dixie counties; Bermuda, West Indies, Texas, Mexico, Central America and South America.",,1,1,1,1,1,0,0,0,0,0,4,IRC
400,Chiococca_parvifolia,1,0,0,0,Chiococca parvifolia,Monroe County Keys north to Martin and Collier counties; West Indies.,,1,0,1,0,0,0,0,0,0,0,1,IRC
196,Chromolaena_odorata,1,0,0,0,Chromolaena odorata,"Fla., Tex.; Mexico; West Indies.",,1,1,1,1,0,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
249,Chrysobalanus_icaco,1,0,0,0,Chrysobalanus icaco,"Florida, Mexico, West Indies, Central America, e South America, w Africa",,1,0,1,1,1,0,1,0,0,0,4,"efloras.org (Flora of China, Flora of North America)"
251,Chrysophyllum_oliviforme,1,0,0,0,Chrysophyllum oliviforme,"Florida, West Indies",,1,0,1,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
506,Chrysopogon_pauciflorus,1,0,0,0,Chrysopogon pauciflorus,Southeastern US and Cuba,,1,1,1,0,0,0,0,0,0,0,2,IRC
239,Chrysopsis_linearifolia,1,0,0,0,Chrysopsis linearifolia,Florida only,,1,0,0,0,0,0,0,0,0,0,0,"efloras.org (Flora of China, Flora of North America)"
175,Cirsium_horridulum,1,0,0,0,Cirsium horridulum,"E United States, Mexico.",,1,1,0,1,0,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
203,Cissus_verticillata,1,0,0,0,Cissus verticillata,Fla.; Mexico; West Indies; Bermuda; Central America; South America.,,1,0,1,1,1,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
78,Citharexylum_spinosum,1,0,0,0,Citharexylum spinosum,ÊIndigenous to West Indies,,1,0,1,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
115,Cladium_jamaicense,1,0,0,0,Cladium jamaicense,"Ala., Ark., Fla., Ga., La., Miss., N.C., S.C., Tex., Va.; Mexico; West Indies; Central America; n South America.",,1,1,1,1,1,0,0,0,0,0,4,"efloras.org (Flora of China, Flora of North America)"
240,Clematis_baldwinii,1,0,0,0,Clematis baldwinii,Florida only,,1,0,0,0,0,0,0,0,0,0,0,"efloras.org (Flora of China, Flora of North America)"
341,Clitoria_mariana,1,0,0,0,Clitoria mariana,New York south to Florida; west to Texas and beyond; north to Missouri and Iowa.Ê,,1,1,0,0,0,0,0,0,0,0,1,https://www.wildflower.org/plants/result.php?id_plant=clma4
163,Clitoria_ternatea,0,1,0,0,Clitoria ternatea,"China, [Bangladesh, Bhutan, Cambodia, India, Indonesia, Laos, Ma_laysia, Myanmar, Nepal, Pakistan, Papua New Guinea, Philippines, Singapore, Sri Lanka, Thailand, Vietnam; Africa, Americas, SW Asia, Australia, In_dian Ocean islands, Pacific islands].",,1,0,0,0,0,0,0,1,0,0,1,"efloras.org (Flora of China, Flora of North America)"
121,Cnidoscolus_stimulosus,1,0,0,0,Cnidoscolus stimulosus,"Ala., Fla., Ga., Ky., La., Miss., N.C., S.C., Va.",,1,1,0,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
209,Coccoloba_uvifera,1,0,0,0,Coccoloba uvifera,Fla.; Mexico; West Indies; Central America; South America.,,1,0,1,1,1,0,0,0,0,0,3,"efloras.org (Flora of China, Flora of North America)"
224,Coccothrinax_argentata,1,0,0,0,Coccothrinax argentata,Fla.; West Indies (Bahama Islands).,,1,0,1,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
217,Colubrina_arborescens,1,0,0,0,Colubrina arborescens,Fla.; Mexico; West Indies; Central America.,,1,0,1,1,0,0,0,0,0,0,2,"efloras.org (Flora of China, Flora of North America)"
281,Colubrina_cubensis_v._floridana,1,0,0,0,Colubrina cubensis v. floridana,"United States, West Indies (Cuba, Hispaniola).",,1,0,1,0,0,0,0,0,0,0,1,"efloras.org (Flora of China, Flora of North America)"
254,Commelina_diffusa,0,1,0,0,Commelina diffusa,"introd. To Florida; Guangdong, SW Guangxi (Longzhou Xian, Pingxiang Shi), SW Guizhou (Anlong Xian, Wangmo Xian), Hainan, SE Xizang (Mêdog Xian), SE Yunnan [tropics and subtropics worldwide].",,1,0,0,0,0,0,0,1,0,0,1,"efloras.org (Flora of China, Flora of North America)"
