540_Names,Very_large,Large,Medium,Order,Full_Tree,PR_endemic,FLEPPCall_2017,NonNative,Full_Tree,Florida,USCan_notFL,Caribbean, Central_America,South_America,Europe ,Africa,Asia ,Australasia,Oceania
Dodonaea_elaeagnoides,7,7,10,40,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Dodonaea_viscosa_v._angustifolia,7,7,10,40,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Dyschoriste_angusta,6,6,8,24,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Echites_umbellatus,6,6,8,23,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Eleusine_indica,4,4,4,14,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0
Elionurus_tripsacoides,4,4,4,14,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
Elytraria_caroliniensis_v._angustifolia,6,6,8,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Emilia_fosbergii,6,6,6,19,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Emilia_sonchifolia,6,6,6,19,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
Encyclia_tampensis,4,4,4,10,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Eragrostis_elliottii,4,4,4,14,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Erechtites_hieracifolia,6,6,6,19,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Eremochloa_ophiuroides,4,4,4,14,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Erigeron_quercifolius,6,6,6,19,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Eriochloa_michauxii,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Ernodea_cokeri,6,6,8,23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Ernodea_littoralis,6,6,8,23,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Eryngium_baldwinii,6,6,6,18,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Erythrina_herbacea,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Eugenia_axillaris,7,7,10,38,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Eugenia_uniflora,7,7,10,38,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Eulophia_graminea,4,4,4,10,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Eupatorium_capillifolium,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Eupatorium_compositrofolium,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Eupatorium_leptophyllum,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Eupatorium_mikanioides,6,6,6,19,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Eupatorium_mohrii,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Eupatorium_serrotinum,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Euphorbia_polyphylla,7,7,9,30,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Eustachys_petraea,4,4,4,14,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Evolvulus_sericeus,6,6,8,25,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Exothea_paniculata,7,7,10,40,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Ficus_altissima,7,7,9,32,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
Ficus_aurea,7,7,9,32,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Ficus_citrifolia,7,7,9,32,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Ficus_microcarpa,7,7,9,32,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1
Fimbristylis_caroliniana,4,4,4,14,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Fimbristylis_cymosa,4,4,4,14,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0
Flacourtia_indica,7,7,9,30,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0
Flavaria_linearis,6,6,6,19,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Forestiera_segregata,6,6,8,24,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Galactia_brachypoda,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Galactia_floridana,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Galactia_regularis,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Galactia_smallii,7,7,9,28,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Galactia_volubilis,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Galium_hispidulum,6,6,8,23,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Glandularia_maritima,6,6,8,24,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Guaiacum_sanctum,7,7,9,35,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Guapira_discolor,6,5,5,15,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Guettarda_elliptica,6,6,8,23,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Guettarda_scabra,6,6,8,23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Gymnopogon_ambiguus,4,4,4,14,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Gymnopogon_brevifolius,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Habenaria_quinqueseta,4,4,4,10,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Hamelia_patens,6,6,8,23,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Hedyotis_procumbens,6,6,8,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Helenium_flexuosum,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Helianthemum_corymbosum,7,7,10,37,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Heliotropium_angiospermum,6,6,8,22,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Heliotropium_polyphyllum,6,6,8,22,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Herissantia_crispa,7,7,10,37,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Heteropogon_contortus,4,4,4,14,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1
Heterotheca_subaxillaris,6,6,6,19,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Hieracium_megacephalon,6,6,6,19,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Houstonia_procumbens,6,6,8,23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Hypelate_trifoliata,7,7,10,40,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Hypericum_hypericoides,7,7,9,30,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Hypoxis_sessilis,4,4,4,10,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Hypoxis_sp.,4,4,4,10,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Hyptis_alata,6,6,8,24,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
Ilex_cassine,6,6,8,21,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Ilex_krugiana,6,6,8,21,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Imperata_brasilensis,4,4,4,14,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
Indigofera_hirsuta,7,7,9,28,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Indigofera_miniata_v._floridana,7,7,9,28,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Indigofera_suffruticosa,7,7,9,28,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0
Ipomoea_cordatotriloba,6,6,8,25,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Ipomoea_hederifolia,6,6,8,25,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Ipomoea_indica,6,6,8,25,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Ipomoea_microdactyla,6,6,8,25,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Ipomoea_sagittata,6,6,8,25,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
Ipomoea_tenuissima,6,6,8,25,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Iresine_diffusa,6,5,5,15,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
Jacquemontia_curtisii_F08,6,6,8,25,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Jacquemontia_pentathos,6,6,8,25,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Jacquinia_keyensis,6,6,7,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Jasminum_dichotomum,6,6,8,24,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
Jasminum_fluminense,6,6,8,24,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
Juncus_megacephalus,4,4,4,14,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Juniperus_virginiana,1,2,2,6,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Justicia_angusta,6,6,8,24,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Kalanchoe_daigremontiana,7,7,9,33,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Kalanchoe_pinnata,7,7,9,33,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0
Kigelia_pinnata,6,6,8,24,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
Koanophyllon_villosum,6,6,6,19,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Lactuca_graminifolia,6,6,6,19,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
Lantana_camara,6,6,8,24,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
Lantana_canescens,6,6,8,24,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Lantana_depressa,6,6,8,24,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Lantana_involucrata,6,6,8,24,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0
Lechea_deckertii,7,7,10,37,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
